DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict_Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,Date,DayOfWeek
220614831,8/18/22 12:00 AM,2020-08-17,1200,6,Hollywood,666,2,354,THEFT OF IDENTITY,1822 1501 0930 2004,28,M,H,102.0,SIDEWALK,,,IC,Invest Cont,354.0,,,,1900    TRANSIENT,,34.0944,-118.3277,2020-08-17,Monday
231808869,4/4/23 12:00 AM,2020-12-01,2300,18,Southeast,1826,2,354,THEFT OF IDENTITY,1822 0100 0930 0929,41,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,9900    COMPTON                      AV,,33.9467,-118.2463,2020-12-01,Tuesday
230110144,4/4/23 12:00 AM,2020-07-03,900,1,Central,182,2,354,THEFT OF IDENTITY,0930 0929,25,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1100 S  GRAND                        AV,,34.0415,-118.262,2020-07-03,Friday
220314085,7/22/22 12:00 AM,2020-05-12,1110,3,Southwest,303,2,354,THEFT OF IDENTITY,100,27,F,B,248.0,CELL PHONE STORE,,,IC,Invest Cont,354.0,,,,2500 S  SYCAMORE                     AV,,34.0335,-118.3537,2020-05-12,Tuesday
231309864,4/28/23 12:00 AM,2020-12-09,1400,13,Newton,1375,2,354,THEFT OF IDENTITY,100,24,F,B,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,1300 E  57TH                         ST,,33.9911,-118.2521,2020-12-09,Wednesday
221804943,1/21/22 12:00 AM,2020-07-01,1335,18,Southeast,1822,2,354,THEFT OF IDENTITY,1822 0930,26,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,100 W  COLDEN                       AV,,33.9492,-118.2739,2020-07-01,Wednesday
230312288,6/1/23 12:00 AM,2020-02-02,315,3,Southwest,391,2,354,THEFT OF IDENTITY,0100 0928 0929 0935 1822,56,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4200    SANTO TOMAS                  DR,,34.0103,-118.3456,2020-02-02,Sunday
231805781,2/3/23 12:00 AM,2020-07-01,805,18,Southeast,1802,2,354,THEFT OF IDENTITY,0928 1822,22,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,400 W  90TH                         ST,,33.9551,-118.2814,2020-07-01,Wednesday
231322474,12/24/23 12:00 AM,2020-01-09,1200,13,Newton,1354,2,354,THEFT OF IDENTITY,100,23,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,4000    WALL                         ST,,34.0112,-118.2716,2020-01-09,Thursday
232112438,8/3/23 12:00 AM,2020-07-01,1200,21,Topanga,2157,2,354,THEFT OF IDENTITY,1822 0929 0930,46,M,B,751.0,WEBSITE,,,IC,Invest Cont,354.0,,,,21000    VANOWEN                      ST,,34.1938,-118.5906,2020-07-01,Wednesday
211209197,3/20/21 12:00 AM,2020-07-01,1425,12,77th Street,1243,2,354,THEFT OF IDENTITY,928,51,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1600 W  67TH                         ST,,33.9785,-118.3068,2020-07-01,Wednesday
231207725,2/27/23 12:00 AM,2020-01-27,635,12,77th Street,1242,2,354,THEFT OF IDENTITY,0100 0917 1822,37,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,6200    4TH                          AV,,33.9837,-118.3216,2020-01-27,Monday
231205231,1/17/23 12:00 AM,2020-01-01,1535,12,77th Street,1268,2,354,THEFT OF IDENTITY,0100 0928,27,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,100 E  85TH                         ST,,33.961,-118.2739,2020-01-01,Wednesday
211818877,10/22/21 12:00 AM,2020-03-10,1500,18,Southeast,1801,2,354,THEFT OF IDENTITY,0100 1822 0930 0922,26,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8700    ORCHARD                      AV,,33.9587,-118.2882,2020-03-10,Tuesday
221515929,10/10/22 12:00 AM,2020-04-01,1200,15,N Hollywood,1539,2,354,THEFT OF IDENTITY,377,33,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5700    CARTWRIGHT                   AV,,34.174,-118.3638,2020-04-01,Wednesday
230406865,3/28/23 12:00 AM,2020-06-28,1250,4,Hollenbeck,478,2,354,THEFT OF IDENTITY,100,34,F,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,354.0,,,,3400    PERCY                        ST,,34.0286,-118.1996,2020-06-28,Sunday
231915767,10/25/23 12:00 AM,2020-09-02,1,19,Mission,1985,2,354,THEFT OF IDENTITY,917,15,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8700    TOBIAS                       AV,,34.228,-118.4517,2020-09-02,Wednesday
221016530,11/15/22 12:00 AM,2020-10-23,1735,10,West Valley,1045,2,354,THEFT OF IDENTITY,1822 0935 1202,65,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17900    EMELITA                      ST,,34.1776,-118.523,2020-10-23,Friday
231210407,4/18/23 12:00 AM,2020-01-01,1,12,77th Street,1259,2,354,THEFT OF IDENTITY,0930 0929 0928 1822,59,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,700 E  73RD                         ST,,33.9739,-118.263,2020-01-01,Wednesday
221312369,6/3/22 12:00 AM,2020-12-10,700,13,Newton,1333,2,354,THEFT OF IDENTITY,100,33,M,H,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,2700 S  CENTRAL                      AV,,34.0174,-118.2621,2020-12-10,Thursday
220911866,7/26/22 12:00 AM,2020-02-01,505,9,Van Nuys,971,2,354,THEFT OF IDENTITY,0922 0929 0923 0930,34,F,W,605.0,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354.0,,,,15200    LA MAIDA                     ST,,34.1585,-118.464,2020-02-01,Saturday
231906599,3/3/23 12:00 AM,2020-01-14,1335,19,Mission,1902,2,354,THEFT OF IDENTITY,928,35,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14500    WILLOWGREEN                  LN,,34.3194,-118.4518,2020-01-14,Tuesday
220321807,12/13/22 12:00 AM,2020-05-17,1620,3,Southwest,317,2,354,THEFT OF IDENTITY,0929 1822 0100 0930 0922,50,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1400 W  25TH                         ST,,34.0337,-118.2915,2020-05-17,Sunday
221216052,7/7/22 12:00 AM,2020-02-23,1000,12,77th Street,1256,2,354,THEFT OF IDENTITY,100,28,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,500 W  75TH                         ST,,33.9717,-118.2827,2020-02-23,Sunday
220213256,7/14/22 12:00 AM,2020-07-14,900,2,Rampart,257,2,354,THEFT OF IDENTITY,0100 0928 1202,79,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1200 W  7TH                          ST,,34.0552,-118.2675,2020-07-14,Tuesday
221607555,4/22/22 12:00 AM,2020-08-01,1200,16,Foothill,1612,2,354,THEFT OF IDENTITY,928,40,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,11100    HERRICK                      AV,,34.2713,-118.415,2020-08-01,Saturday
221516944,11/3/22 12:00 AM,2020-06-01,1200,15,N Hollywood,1517,2,354,THEFT OF IDENTITY,1817,59,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,6700    BAKMAN                       AV,,34.1925,-118.3779,2020-06-01,Monday
231707687,4/4/23 12:00 AM,2020-05-08,1845,17,Devonshire,1745,2,354,THEFT OF IDENTITY,0917 0929,44,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17100    CHATSWORTH                   ST,,34.2648,-118.5055,2020-05-08,Friday
230711357,6/26/23 12:00 AM,2020-01-01,1,7,Wilshire,774,2,354,THEFT OF IDENTITY,1501,32,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4900 W  WASHINGTON                   BL,,34.0431,-118.3482,2020-01-01,Wednesday
220409258,5/29/22 12:00 AM,2020-03-29,1315,4,Hollenbeck,467,2,354,THEFT OF IDENTITY,100,16,M,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,354.0,,,,2600 E  4TH                          ST,,34.0395,-118.2093,2020-03-29,Sunday
220119956,9/6/22 12:00 AM,2020-07-01,1130,1,Central,162,2,354,THEFT OF IDENTITY,0928 1822,22,F,B,750.0,CYBERSPACE,,,IC,Invest Cont,354.0,,,,800 S  HOPE                         ST,,34.0466,-118.259,2020-07-01,Wednesday
240604173,1/5/24 12:00 AM,2020-07-09,1230,6,Hollywood,637,2,354,THEFT OF IDENTITY,928,21,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,6200    HOLLYWOOD                    BL,,34.103,-118.3225,2020-07-09,Thursday
231711735,6/7/23 12:00 AM,2020-09-02,800,17,Devonshire,1775,2,354,THEFT OF IDENTITY,0929 1822,46,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,17400    NORDHOFF                     ST,,34.2394,-118.5112,2020-09-02,Wednesday
231912127,7/26/23 12:00 AM,2020-01-26,1735,19,Mission,1913,2,354,THEFT OF IDENTITY,923,46,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14600    NURMI                        ST,,34.307,-118.4521,2020-01-26,Sunday
231007464,3/30/23 12:00 AM,2020-06-25,1225,10,West Valley,1015,2,354,THEFT OF IDENTITY,1822 0929,28,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,7400    JAMIESON                     AV,,34.2048,-118.5219,2020-06-25,Thursday
221917823,12/12/22 12:00 AM,2020-04-05,1550,19,Mission,1921,2,354,THEFT OF IDENTITY,,23,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,15400    EL CAJON                     ST,,34.3054,-118.4681,2020-04-05,Sunday
